Date,Link,Title,Description
2014-11-24,https://www.youtube.com/watch?v=QdHK8kvXB1M,Всемирный день борьбы с курением,"В канун Дня борьбы с курением мы решили не остаться в стороне и поговорить об этой пагубной привычке. О том, что же представляет собой никотин, чем он вреден и что заставляет человека в очередной раз закурить сигарету. А также рассмотрим, как культура и общество влияет на желание раз за разом вдыхать дым."
2015-02-06,https://www.youtube.com/watch?v=1ymlKCZV6YI,"Детская программа ""Цветные сны"" - 06/02/15",
2015-07-29,https://www.youtube.com/watch?v=7ro-tPfxvkM,Налоговые преступления представляют собой общественную опасность для государства,"Президент Евгений Шевчук принял участие в расширенном совещании Главного управления по борьбе с экономическими преступлениями и коррупцией МВД ПМР. Обсуждались вопросы, касающиеся деятельности управления по борьбе с налоговыми и валютными преступлениями на территории Приднестровья в период с 2012 года по настоящее время. В рабочей встрече приняли также участие представители руководства силовых структур, министерств и ведомств республики, ПРБ и Верховного суда ПМР."
2015-11-05,https://www.youtube.com/watch?v=0-SObq9m6rU,Многомиллионная контрабанда,"В течение 5 лет, с 2010 года по настоящее время, через приднестровскую границу было контрабандным путем перемещено почти 255 миллионов долларов. Кто их перевозил непонятно, а вот откуда деньги, известно. В обстоятельствах сейчас разбираются сотрудники Следственного комитета. По факту неоднократной контрабанды иностранной валюты в крупном размере возбуждено уголовное дело."
2016-03-21,https://www.youtube.com/watch?v=2ot_krbcEzQ,О курсе рубля и наличии иностранной валюты,"Курс рубля и наличие иностранной валюты. Это самая обсуждаемая новость последних дней. Несмотря на постоянную девальвацию в СНГ и Евросоюзе, приднестровцы привыкли к стабильности. Впервые за 4 года доллар подрос и достиг верхней, максимально возможной планки, установленной действующим валютным коридором, который много лет остаётся неизменным – от 11 рублей до 11.30 копеек за единицу американской валюты."
2016-04-12,https://www.youtube.com/watch?v=Bpxz0Io-BhY,Президент Евгений Шевчук прокомментировал выступление в свой адрес,"Президент ПМР Евгений Шевчук сегодня посетил Дубоссары, чтобы поздравить жителей этого города с Днем освобождения от румынско-немецких захватчиков и встретиться лично с ветеранами Великой Отечественной войны. Также глава государства провел в Дубоссарах приём граждан по личным вопросам и встретился с представителями общественных организаций. После этой встречи, которая длилась более трех часов, журналисты попросили Президента республики прокомментировать вчерашнее заседание внеочередной сессии Верховного Совета и звучавшие на нем заявления."
2016-04-24,https://www.youtube.com/watch?v=zPSoGwwj6nY,Есть ли в Приднестровье дефицит продуктов питания?,"На неделе в Приднестровье стартовала широкая кампания по раздаче продовольственных наборов. Продукты питания раздают абсолютно бесплатно, и это на фоне непрекращающихся слухов о дефиците продовольствия в стране. Забота о пенсионерах в ущерб собственных коммерческих интересов, безусловно, такой шаг оценили многие. Непонятным остается одно: откуда взялись продукты питания, если склады основного импортера, если верить СМИ, пустые. Что это маркетинговый ход или элемент политической борьбы?"
2016-05-13,https://www.youtube.com/watch?v=L7slCGVCRrE,Пресс-обозрение - 13/05/16,
2016-05-27,https://www.youtube.com/watch?v=RFao54hHLVA,Пресс-обозрение - 27/05/16,
2016-05-28,https://www.youtube.com/watch?v=RH6IeC5thsE,"Документальный фильм ""Реквием по 90-м...""",
2016-06-02,https://www.youtube.com/watch?v=8G8rL1aMDPc,Есть ли в Приднестровье продовольственный кризис?,"Не первый день идут разговоры о продовольственном кризисе в Приднестровье. Об этом говорят частные СМИ. По официальным же данным Министерства экономического развития и Государственного таможенного комитета, Приднестровье обеспечено продуктами питания. Продовольственный кризис: реальность или вымысел?"
2016-06-03,https://www.youtube.com/watch?v=JIZWgyemcB4,ММЗ подаёт в суд на депутатов Верховного Совета,"Металлургический завод подаёт в суд на депутатов, которые, по словам директора этого крупнейшего предприятия, позволяют себе недостоверные высказывания. С трибуны Верховного Совета сделаны заявления, наносящие непоправимый вред деловой репутации завода, – говорят на ММЗ. Ранее трудовой коллектив уже направлял письмо в парламент, где, в частности, отмечается: «Ввиду отсутствия реакции со стороны Председателя Верховного Совета можно говорить о молчаливом согласии в нагнетании обстановки вокруг завода и создании напряженности в его работе»."
2016-06-03,https://www.youtube.com/watch?v=MCENTG_DO-4,Пресс-обозрение - 03/06/16,
2016-06-05,https://www.youtube.com/watch?v=EuSdKcvJxXE,ММЗ подает в суд на депутатов,"К чему приводят голословные заявления. Металлургический завод подаёт в суд на депутатов. Их высказывания нанесли значительный, в том числе финансовый ущерб предприятию, говорят на ММЗ. Дело в том, что неоднократные публичные размышления о массовых увольнениях, невыплате зарплаты, предстоящей вот-вот остановке заставили партнеров завода усомниться в его надёжности. Однако громкие слова не соответствуют действительности – приводят документы на ММЗ и готовятся привлечь депутатов к ответу в судебном порядке."
2016-06-10,https://www.youtube.com/watch?v=RrmvxVRnFUk,На ТСВ подают в суд,"За ложные заявления необходимо ответить. Об этом заявил руководитель компании «Цыта», обвинённый «фирмой Шериф через подконтрольные ей СМИ» в нарушении закона. По закону, человека или организацию объявляет виновным или невиновным суд. Хотя не было ни расследования, ни решения суда, о махинациях объявлено как о факте, который якобы на самом деле имел место."
2016-06-10,https://www.youtube.com/watch?v=vlqnThYsFRk,Что пишут о Приднестровье в российских СМИ,"От внешней политики – к внутренней. В последнее время зарубежные СМИ уделяют внимание Приднестровью, но все чаще пишут не о переговорном процессе или участившихся учениях НАТО в соседней стране, а о внутриполитической борьбе в Приднестровье. Постоянные «сенсации», разоблачающие откровения, различные баталии  - под пристальным вниманием, в том числе российских изданий."
2016-06-12,https://www.youtube.com/watch?v=d4ZPTmnwtUA,Майонезная паника,"Грозит ли Приднестровью голод? В парламенте объявлено, что в республике запас продуктов исчисляется неделями. С тех пор прошло более 2-х месяцев, а обещанные пустые прилавки пока показывает только фирма «Шериф». Все остальные предприятия почему-то могут завозить продукцию, и только самой крупной фирме это якобы не удаётся. Если, к примеру, в Тирасполе над такими манипуляциями откровенно посмеиваются, то жителям тех регионов, где «Шериф» успешно избавился от конкурентов, уже не до шуток. Кому выгодна майонезная паника и как долго она продлится?"
2016-06-15,https://www.youtube.com/watch?v=e_yE19Woszc,Информационная диверсия отложена на неопределенный срок,"Печатные издания для проведения в Приднестровье широкомасштабной информационной диверсии уже изготовлены. Экземпляр газеты со знакомым для многих жителей нашей республики названием оказался в распоряжении Комитета госбезопасности. Правда, в отличие от оригинала, содержание печатного клона наполнено недостоверной информацией. Сотрудникам КГБ удалось установить исполнителей и предполагаемых заказчиков."
2016-06-16,https://www.youtube.com/watch?v=PntWRru4lvQ,"Программа ""Мой округ"". Владислав Тидва - 16/06/16",
2016-06-17,https://www.youtube.com/watch?v=BKHJHx8_k_0,"Программа ""Пресс-обозрение"" - 17/06/16",
2016-06-17,https://www.youtube.com/watch?v=7M00pwrqD2A,"Программа ""Мой округ"". Александр Коршунов - 14/06/16",
2016-06-19,https://www.youtube.com/watch?v=aaKrfhmT0q0,Грязные технологии ведения политической борьбы,"Президентская гонка в Приднестровье де-факто уже идет. Это признали многие эксперты и политики. Яркое проявление досрочно начавшейся предвыборной кампании – популистские заявления на фоне экономических сложностей, «голодные игры» и нагнетание обстановки в стране в целом. На неделе к ним прибавились уже привычные нам грязные технологии ведения борьбы. Спецслужбы предотвратили широкую информационную диверсию. Под видом уже существующей в Приднестровье газеты в страну пытались завести ее точную копию с интересным, но недостоверным содержанием."
2016-06-21,https://www.youtube.com/watch?v=PdCo-vDxeKA,"Программа ""Мой округ"". Олег Петрик - 21/06/16",
2016-06-24,https://www.youtube.com/watch?v=HlBUpvtjeDw,Прямой эфир с Президентом ПМР Евгением Шевчуком,"Путем обмана или дискредитации исполнительной власти некоторые силы нагнетают напряженность в республике, и такие действия имеют определённые последствия. Об этом заявил Президент накануне в ходе общения с журналистами. Большую часть этого времени посвятили, по сути, двум темам: валютному кризису и внутриполитической борьбе."
2016-06-26,https://www.youtube.com/watch?v=niVmE_TuUZU,Идеология конфликтности. Прямой эфир с Президентом,"В Приднестровье усиливается жара, и речь не только о погоде. Градус внутриполитической борьбы поднимается все выше. Информационная война, развязанная в Приднестровье, по словам главы государства, – это один из элементов предвыборной гонки. На неделе Евгений Шевчук стал гостем программы «Журналисты приглашают». В студии Первого Приднестровского Президент высказал свое мнение относительно поведения определенных политических сил, которые, по его словам, «путем обмана или дискредитации исполнительной власти нагнетают напряженность в республике», и в очередной раз призвал задуматься о последствиях."
2016-06-28,https://www.youtube.com/watch?v=E7ty9vuEG8A,"Программа ""Мой округ"". Олег Беляков - 28/06/16",
2016-07-01,https://www.youtube.com/watch?v=3HJ_9udL9dQ,"Программа ""Пресс-обозрение"" - 1/07/16",
